Date;Open;High;Low;Close;Adj Close;Volume
6.5.2014;16,6775;16,7225;16,3575;16,3825;15,763311;5472400
7.5.2014;16,5425;16,67;16,1625;16,66;16,030323;4628000
8.5.2014;16,584999;16,952499;16,442499;16,602501;15,974997;3796400
9.5.2014;16,5875;16,6875;16,375;16,67;16,039946;6406400
12.5.2014;16,897499;17,1775;16,877501;17,1425;16,494585;6417200
13.5.2014;17,205;17,327499;17,15;17,192499;16,542696;3362800
14.5.2014;17,16;17,1775;16,879999;16,959999;16,318983;2701200
15.5.2014;16,827499;16,862499;16,262501;16,49;15,866748;8344400
16.5.2014;16,535;16,692499;16,327499;16,690001;16,059189;3570000
19.5.2014;16,5875;16,897499;16,532499;16,855;16,217953;3617600
20.5.2014;16,825001;16,83;16,407499;16,532499;15,90764;5090800
21.5.2014;16,672501;16,975;16,6675;16,945;16,304552;4451200
22.5.2014;16,965;17,1775;16,885;17,077499;16,432043;2360800
23.5.2014;17,122499;17,317499;17,0975;17,295;16,641323;5000800
27.5.2014;17,475;17,612499;17,455;17,5975;16,93239;2926800
28.5.2014;17,59;17,682501;17,475;17,549999;16,886684;3287200
29.5.2014;17,690001;17,834999;17,547501;17,834999;17,160912;3438000
30.5.2014;17,782499;17,945;17,7325;17,879999;17,204212;4064000
2.6.2014;17,987499;18;17,715;17,969999;17,29081;2597200
3.6.2014;17,8375;17,9725;17,795;17,945;17,266754;2091200
4.6.2014;17,834999;18,084999;17,797501;18,030001;17,348543;4719200
5.6.2014;18,1075;18,4625;17,92;18,4125;17,716587;4975200
6.6.2014;18,535;18,682501;18,502501;18,665001;17,959543;2629600
9.6.2014;18,665001;18,8675;18,615;18,7325;18,02449;6100800
10.6.2014;18,6525;18,73;18,540001;18,73;18,022085;3623200
11.6.2014;18,545;18,594999;18,4125;18,5525;17,851294;5716400
12.6.2014;18,465;18,5075;18,02;18,137501;17,451981;7804400
13.6.2014;18,245001;18,360001;18,075001;18,309999;17,61796;3983200
16.6.2014;18,2225;18,4625;18,17;18,344999;17,651636;5458400
17.6.2014;18,272499;18,540001;18,2125;18,49;17,791157;5774000
18.6.2014;18,51;18,9375;18,375;18,897499;18,183254;5672400
19.6.2014;18,9625;19,0075;18,775;18,965;18,248203;8091600
20.6.2014;19,0825;19,1175;19,0175;19,0825;18,361261;4066800
23.6.2014;19,1;19,112499;18,9625;19,07;18,349236;5683200
24.6.2014;18,9625;19,245001;18,657499;18,7225;18,014868;6796000
25.6.2014;18,6075;19,0275;18,5975;18,9625;18,245798;8426400
26.6.2014;18,967501;18,967501;18,5525;18,9275;18,21212;4283200
27.6.2014;18,785;19,049999;18,7675;19,022499;18,30353;4108000
30.6.2014;19,012501;19,135;18,9575;19,01;18,291504;4178000
1.7.2014;19,15;19,5625;19,137501;19,3925;18,659546;6634400
2.7.2014;19,389999;19,512501;19,3675;19,440001;18,705252;3714400
3.7.2014;19,5975;19,75;19,565001;19,725;18,979481;2851600
7.7.2014;19,6175;19,657499;19,4375;19,535;18,796659;3352800
8.7.2014;19,407499;19,4375;19;19,157499;18,433428;6580800
9.7.2014;19,295;19,4475;19,1675;19,3925;18,659546;4166000
10.7.2014;18,842501;19,317499;18,782499;19,16;18,435833;4504000
11.7.2014;19,137501;19,282499;19,002501;19,254999;18,527241;4317600
14.7.2014;19,535;19,612499;19,375;19,535;18,796659;3899200
15.7.2014;19,5625;19,672501;19,17;19,422501;18,688412;5163200
16.7.2014;19,6875;19,725;19,477501;19,629999;18,888069;6401600
17.7.2014;19,4625;19,674999;18,8825;18,965;18,248203;12268000
18.7.2014;19,137501;19,5975;19,115;19,5275;18,789444;5028800
21.7.2014;19,3475;19,48;19,1625;19,424999;18,690817;4568000
22.7.2014;19,6425;19,785;19,5875;19,6875;18,943396;7155600
23.7.2014;19,76;19,879999;19,657499;19,815001;19,066078;5906400
24.7.2014;19,8825;19,940001;19,752501;19,815001;19,066078;4001200
25.7.2014;19,645;19,6975;19,424999;19,545;18,806282;3288000
28.7.2014;19,549999;19,6425;19,215;19,5525;18,813499;4032800
29.7.2014;19,68;19,745001;19,305;19,309999;18,580162;5811600
30.7.2014;19,52;19,5875;19,08;19,315001;18,584976;7655600
31.7.2014;18,91;18,959999;18,15;18,155001;17,468819;9218000
1.8.2014;18,0075;18,3375;17,74;17,995001;17,314867;7463200
4.8.2014;18,112499;18,497499;17,8675;18,379999;17,685314;4571200
5.8.2014;18,15;18,297501;17,65;17,834999;17,160912;6860000
6.8.2014;17,594999;18,092501;17,5875;17,862499;17,187372;5022000
7.8.2014;18,112499;18,155001;17,445;17,5625;16,898712;6742800
8.8.2014;17,6775;18,209999;17,5525;18,1675;17,480844;5894400
11.8.2014;18,385;18,575001;18,3125;18,33;17,637203;5305600
12.8.2014;18,275;18,43;18,1;18,2675;17,577066;3828400
13.8.2014;18,48;18,690001;18,385;18,647499;17,942703;5772800
14.8.2014;18,717501;18,889999;18,6675;18,8825;18,168821;2928800
15.8.2014;19,0975;19,15;18,475;18,889999;18,176037;6918800
18.8.2014;19,1975;19,377501;19,1625;19,3325;18,601814;3976400
19.8.2014;19,469999;19,695;19,432501;19,625;18,883257;3942000
20.8.2014;19,5625;19,875;19,5625;19,797501;19,049238;3469600
21.8.2014;19,865;20,0525;19,817499;19,9825;19,227247;5217600
22.8.2014;19,9275;20,030001;19,747499;19,875;19,123808;4864800
25.8.2014;20,1875;20,282499;20,09;20,182501;19,419687;3058400
26.8.2014;20,24;20,372499;20,209999;20,227501;19,462988;3016000
27.8.2014;20,25;20,297501;20,1075;20,209999;19,446148;2183600
28.8.2014;20;20,200001;19,942499;20,172501;19,410067;4418800
29.8.2014;20,2675;20,342501;20,07;20,3325;19,564018;3538400
2.9.2014;20,4275;20,4275;20,077499;20,2925;19,525528;3398800
3.9.2014;20,530001;20,547501;20,192499;20,2675;19,501474;5055600
4.9.2014;20,355;20,59;20,012501;20,1525;19,390821;6739200
5.9.2014;20,15;20,465;19,934999;20,445;19,672266;3683200
8.9.2014;20,385;20,469999;20,112499;20,297501;19,530342;4297200
9.9.2014;20,245001;20,272499;19,780001;19,9;19,147863;7027600
10.9.2014;19,905001;20,16;19,7325;20,1325;19,371578;4145600
11.9.2014;19,870001;20,1975;19,834999;20,1875;19,4245;3218400
12.9.2014;20,127501;20,1325;19,665001;19,8325;19,082916;6794400
15.9.2014;19,8375;19,885;19,6075;19,7875;19,039618;2503200
16.9.2014;19,674999;20,3325;19,647499;20,237499;19,472607;6522400
17.9.2014;20,33;20,594999;20,022499;20,307501;19,539963;6050800
18.9.2014;20,504999;20,647499;20,432501;20,6175;19,838247;4058400
19.9.2014;20,827499;20,897499;20,459999;20,5825;19,804569;4706400
22.9.2014;20,469999;20,477501;19,975;20,0975;19,3379;4564800
23.9.2014;19,879999;20,1325;19,745001;19,7575;19,01075;6526000
24.9.2014;19,775;20,25;19,615;20,2325;19,467798;6843200
25.9.2014;20,049999;20,067499;19,227501;19,2425;18,515215;7309200
26.9.2014;19,33;19,827499;19,262501;19,6975;18,953018;6161600
29.9.2014;19,182501;19,68;19,129999;19,577499;18,837553;4917600
30.9.2014;19,6325;19,8025;19,307501;19,41;18,676384;6744000
1.10.2014;19,325001;19,3475;18,51;18,629999;17,925863;9438000
2.10.2014;18,577499;18,8375;18,0625;18,6325;17,92827;9985200
3.10.2014;19,022499;19,370001;18,844999;19,245001;18,517622;8934000
6.10.2014;19,495001;19,567499;18,98;19,182501;18,457485;8542000
7.10.2014;18,875;19,012501;18,295;18,299999;17,608337;7875200
8.10.2014;18,32;19,325001;18,040001;19,26;18,532055;10558400
9.10.2014;19,147499;19,225;18,0625;18,1;17,415897;12331600
10.10.2014;18,084999;18,3575;17,469999;17,495001;16,833765;11327200
13.10.2014;17,4725;17,647499;16,584999;16,612499;15,984617;10665600
14.10.2014;16,875;17,25;16,512501;16,727501;16,095272;13162400
15.10.2014;16;16,467501;15,15;16,2775;15,662279;27246000
16.10.2014;15,4675;16,639999;15,4225;16,280001;15,664686;18242000
17.10.2014;16,842501;17,2125;16,66;16,897499;16,258846;14357200
20.10.2014;16,780001;17,4025;16,764999;17,375;16,7183;8958000
21.10.2014;17,7325;18,43;17,690001;18,389999;17,694937;10132800
22.10.2014;18,5075;18,635;17,987499;18,01;17,329298;8679600
23.10.2014;18,540001;18,98;18,4575;18,637501;17,933083;9526400
24.10.2014;18,719999;19,075001;18,514999;19,035;18,315557;6220800
27.10.2014;18,852501;19,25;18,6525;18,9725;18,255419;7809200
28.10.2014;19,184999;19,635;19,15;19,612499;18,871231;9072800
29.10.2014;19,672501;19,842501;19,15;19,547501;18,808687;8112000
